TAZ_O,year,Avg_own_payt,Avg_own_paytinf,Avg_val_dwel,Avg_val_dwelinf,Avg_rent,Avg_rentinf,Avg_HHinc,Avg_HHincinf,Med_HHincinf,Dwel,Sgl_det,Apt_5plus,Sgl_att,Owned,Rented
1,2001,1009.7142857142857,1318.9897714285714,230989.42857142858,301741.49054285715,793.7857142857143,1036.9222785714287,60338.5,78820.18255,66281.10215714286,1851.0,609.0,298.0,964.0,982.0,877.0
1,2006,1210.7857142857142,1428.12175,359926.78571428574,424533.64375000005,889.0,1048.5755,67891.57142857143,80078.1085,63148.070999999996,1641.0,477.0,283.0,870.0,886.0,753.0
1,2011,1314.875,1404.2865000000002,443741.1875,473915.58825000003,931.4375,994.77525,79507.9375,84914.47725000001,64161.168000000005,1744.0,487.0,323.0,910.0,1032.0,720.0
1,2016,1675.8125,1675.8125,733765.875,733765.875,1080.4375,1080.4375,94044.5,94044.5,68736.0,1891.0,496.0,462.0,935.0,961.0,909.0
1,2086,535.0,1044.0525,101758.33333333333,198581.38749999998,492.0,960.138,33165.88888888889,64723.23216666667,67771.692,914.0,334.0,147.0,436.0,389.0,530.0
1,2091,841.3333333333334,1303.9825333333335,229163.33333333334,355180.2503333334,742.2222222222222,1150.370222222222,46928.88888888889,72735.08488888889,66278.3737,1233.0,423.0,281.0,527.0,677.0,553.0
1,2096,964.1111111111111,1393.7190222222223,211851.44444444444,306252.4480888889,724.2222222222222,1046.9356444444443,47880.22222222222,69215.64924444444,59774.1144,1257.0,380.0,281.0,595.0,676.0,581.0
2,2001,909.3,1187.8185899999999,235829.45,308064.010535,665.45,869.2773350000001,70680.2,92329.54526,82881.33862000001,2086.0,1589.0,62.0,421.0,1544.0,525.0
2,2006,1153.05,1360.022475,350297.05,413175.370475,705.6,832.2552000000001,78954.2,93126.4789,80224.872,2068.0,1338.0,81.0,665.0,1673.0,398.0
2,2011,1280.4545454545455,1367.5254545454547,479115.7727272727,511695.6452727273,713.9545454545455,762.5034545454546,82225.0,87816.3,76228.5,2152.0,1402.0,84.0,671.0,1758.0,379.0
2,2016,1538.8181818181818,1538.8181818181818,660388.6818181818,660388.6818181818,883.7727272727273,883.7727272727273,103465.63636363637,103465.63636363637,87800.0,2147.0,1387.0,76.0,685.0,1682.0,465.0
2,2086,448.0,874.272,97065.125,189422.5914375,604.0,1178.706,33369.9375,65121.43303125,77166.213,1575.0,1185.0,93.0,292.0,1251.0,327.0
2,2091,617.0,956.2883,231897.4,359417.78026,850.3,1317.87997,52776.75,81798.684825,73093.284,2053.0,1519.0,13.0,505.0,1545.0,492.0
2,2096,769.05,1111.73868,197584.05,285627.50268,814.05,1176.7906799999998,55951.6,80883.63296,70480.228,2078.0,1494.0,144.0,464.0,1574.0,513.0
3,2001,900.4705882352941,1176.2847294117648,263134.23529411765,343732.2515647059,515.2941176470588,673.1287058823528,76870.88235294117,100416.43361764705,90097.5857117647,74.0,62.0,1.0,11.0,67.0,7.0
3,2006,1219.6470588235295,1438.5737058823531,380245.4705882353,448499.5325588235,712.8235294117648,840.7753529411765,87366.29411764706,103048.5439117647,89797.694,74.0,59.0,2.0,14.0,70.0,6.0
3,2011,1319.0625,1408.7587500000002,482054.6875,514834.40625,710.5625,758.88075,85444.6875,91254.92625,75221.376,328.0,65.0,250.0,14.0,261.0,66.0
3,2016,1645.125,1645.125,682159.25,682159.25,880.1875,880.1875,111312.9375,111312.9375,89848.0,584.0,8.0,569.0,6.0,385.0,203.0
3,2086,438.0,854.7570000000001,78427.25,153050.778375,601.0,1172.8515,26189.333333333332,51108.484,79658.2785,96.0,65.0,0.0,30.0,64.0,33.0
3,2091,520.3333333333334,806.4646333333334,227304.0,352298.4696,842.9333333333333,1306.4623733333333,55242.73333333333,85620.71239333334,83291.626,91.0,90.0,0.0,3.0,81.0,10.0
3,2096,671.7857142857143,971.1334285714287,192586.57142857142,278403.14765714284,717.8571428571429,1037.7342857142858,57106.28571428572,82552.84662857144,76256.8456,97.0,88.0,0.0,8.0,86.0,10.0
4,2001,893.0,1166.5259,242067.33333333334,316212.55753333337,595.6666666666666,778.1193666666667,64191.333333333336,83853.13873333334,77738.34843333333,173.0,18.0,144.0,11.0,99.0,73.0
4,2006,1201.3333333333333,1416.9726666666666,349720.6666666667,412495.52633333334,342.0,403.389,74330.66666666667,87673.02133333334,74812.1465,414.0,11.0,392.0,13.0,292.0,122.0
4,2011,1419.0,1515.4920000000002,428842.75,458004.05700000003,973.25,1039.431,92255.25,98528.607,86057.304,764.0,11.0,745.0,8.0,546.0,229.0
4,2016,1587.0,1587.0,551507.0,551507.0,1168.0,1168.0,102504.75,102504.75,84797.0,963.0,2.0,948.0,12.0,639.0,308.0
4,2086,398.0,776.697,113399.33333333333,221298.799,596.0,1163.094,35840.833333333336,69943.38625000001,76916.421,297.0,261.0,21.0,15.0,238.0,58.0
4,2091,664.0,1029.1336000000001,259002.33333333334,401427.71643333335,918.3333333333334,1423.3248333333333,55594.0,86165.1406,77023.8304,112.0,110.0,0.0,4.0,99.0,12.0
4,2096,523.0,756.0488,158120.0,228578.272,790.0,1142.024,44757.25,64701.0806,71628.0344,119.0,107.0,0.0,10.0,104.0,13.0
5,2001,914.7333333333333,1194.9161533333333,222921.86666666667,291202.83442666667,791.4,1033.80582,61280.333333333336,80050.49943333333,71362.73356666666,145.0,22.0,112.0,9.0,85.0,60.0
5,2006,1260.3333333333333,1486.5631666666666,324696.26666666666,382979.2465333333,884.8,1043.6216,70771.26666666666,83474.70903333333,74950.148,331.0,16.0,302.0,12.0,233.0,97.0
5,2011,1314.6875,1404.08625,443052.4375,473180.00325,983.5625,1050.44475,75725.125,80874.4335,72397.584,616.0,18.0,589.0,9.0,441.0,183.0
5,2016,1389.0625,1389.0625,555503.9375,555503.9375,955.25,955.25,85011.5,85011.5,74694.0,785.0,8.0,764.0,11.0,521.0,250.0
5,2086,424.0,827.436,113901.0,222277.8015,625.0,1219.6875,39527.26666666667,77137.4609,76690.047,302.0,234.0,18.0,50.0,250.0,50.0
5,2091,583.1111111111111,903.7639111111112,244621.66666666666,379139.1211666667,836.7777777777778,1296.9218777777778,58589.555555555555,90807.95215555555,76916.8873,94.0,92.0,0.0,4.0,84.0,11.0
5,2096,724.7777777777778,1047.7387555555556,206153.55555555556,298015.5799111111,802.1111111111111,1159.5318222222222,56350.77777777778,81460.68435555555,69252.9136,100.0,90.0,0.0,10.0,88.0,11.0
6,2001,881.2592592592592,1151.1889703703703,224526.92592592593,293299.52333703707,765.2962962962963,999.7065518518518,66076.5925925926,86315.85290370371,77643.81101851852,2464.0,1568.0,244.0,641.0,1893.0,560.0
6,2006,1097.8148148148148,1294.872574074074,334032.5925925926,393991.44296296296,730.5185185185185,861.6465925925926,73581.81481481482,86789.75057407407,74104.4465,2433.0,1402.0,235.0,805.0,1865.0,576.0
6,2011,1289.04,1376.69472,468456.44,500311.47792000003,857.24,915.53232,80078.72,85524.07296,75183.996,2483.0,1463.0,245.0,781.0,1857.0,596.0
6,2016,1385.04,1385.04,648256.16,648256.16,907.04,907.04,94657.32,94657.32,81109.0,2449.0,1433.0,175.0,832.0,1957.0,478.0
