year,census_year,tts_year
1865,,
1866,,
1867,,
1868,,
1869,,
1870,,
1871,,
1872,,
1873,,
1874,,
1875,,
1876,,
1877,,
1878,,
1879,,
1880,,
1881,,
1882,,
1883,,
1884,,
1885,,
1886,,
1887,,
1888,,
1889,,
1890,,
1891,,
1892,,
1893,,
1894,,
1895,,
1896,,
1897,,
1898,,
1899,,
1900,,
1901,,
1902,,
1903,,
1904,,
1905,,
1906,,
1907,,
1908,,
1909,,
1910,,
1911,,
1912,,
1913,,
1914,,
1915,,
1916,,
1917,,
1918,,
1919,,
1920,,
1921,,
1922,,
1923,,
1924,,
1925,,
1926,,
1927,,
1928,,
1929,,
1930,,
1931,,
1932,,
1933,,
1934,,
1935,,
1936,,
1937,,
1938,,
1939,,
1940,,
1941,,
1942,,
1943,,
1944,,
1945,,
1946,,
1947,,
1948,,
1949,,
1950,,
1951,,
1952,,
1953,,
1954,,
1955,,
1956,,
1957,,
1958,,
1959,,
1960,,
1961,,
1962,,
1963,,
1964,,
1965,,
1966,,
1967,,
1968,,
1969,1971.0,
1970,1971.0,
1971,1971.0,
1972,1971.0,
1973,1971.0,
1974,1976.0,
1975,1976.0,
1976,1976.0,
1977,1976.0,
1978,1976.0,
1979,1981.0,
1980,1981.0,
1981,1981.0,
1982,1981.0,
1983,1981.0,
1984,1986.0,1986.0
1985,1986.0,1986.0
1986,1986.0,1986.0
1987,1986.0,1986.0
1988,1986.0,1986.0
1989,1991.0,1991.0
1990,1991.0,1991.0
1991,1991.0,1991.0
1992,1991.0,1991.0
1993,1991.0,1991.0
1994,1996.0,1996.0
1995,1996.0,1996.0
1996,1996.0,1996.0
1997,1996.0,1996.0
1998,1996.0,1996.0
1999,2001.0,2001.0
2000,2001.0,2001.0
2001,2001.0,2001.0
2002,2001.0,2001.0
2003,2001.0,2001.0
2004,2006.0,2006.0
2005,2006.0,2006.0
2006,2006.0,2006.0
2007,2006.0,2006.0
2008,2006.0,2006.0
2009,2011.0,2011.0
2010,2011.0,2011.0
2011,2011.0,2011.0
2012,2011.0,2011.0
2013,2011.0,2011.0
2014,2016.0,2016.0
2015,2016.0,2016.0
2016,2016.0,2016.0
2017,2016.0,2016.0
