OBJECTID,Shape_Leng,Shape_Area,TAZ_O
1,5768.92985986,1167360.38559,1
2,6573.00984143,1691798.86299,2
3,5720.59667877,1549778.85818,3
4,6361.51505816,1911833.76089,4
5,5605.57053601,1584066.92225,5
6,7148.44542112,3246131.4992,6
7,4702.87668413,1094412.1904,7
8,8918.48605527,1492725.46406,8
9,6467.6384075,1977369.23096,9
10,8307.77285527,2699005.70684,10
11,5261.44933129,1603326.90586,11
12,4399.03517769,1232900.94858,12
13,5320.54233336,1388626.15577,13
14,11098.8413254,2633963.68091,14
15,4518.83791689,689592.685107,15
16,6594.17020077,1687287.89477,16
17,9198.76294299,676532.854403,17
18,10662.1167462,1125330.50607,18
19,5894.34531664,1316151.35037,19
20,8576.53454281,2001690.69759,20
21,4025.65330704,680131.005623,21
22,9558.61414285,2974419.36059,22
23,5192.60112056,1282296.39053,23
24,6746.84585831,2389466.1009,24
25,10810.2716209,4024369.04061,25
26,7157.88039759,2410978.86196,26
27,3896.21246979,945927.031051,27
28,6618.21612494,2587669.80324,28
29,6167.13531652,2192081.23958,29
30,5675.56038552,1199475.95601,30
31,4099.65495748,1069086.02241,31
32,6115.79513683,2079673.95719,32
33,6088.08131885,1744162.58805,33
34,5803.49636232,1232739.10356,34
35,4997.32858056,1048468.81321,35
36,6070.34287121,2044608.62386,36
37,6019.55794789,2018309.16176,37
38,3883.55220793,955108.647555,38
39,5849.02283232,1550155.81106,39
40,7652.3059985,2602067.43734,40
41,4957.74823119,1271825.1438,41
42,5958.85269487,2004963.60862,42
43,3917.57985906,955194.216436,43
44,4514.58946426,812353.426804,44
45,5488.49319413,869165.226205,45
46,8455.55744201,2484074.94389,46
47,9088.57985159,2802828.36173,47
48,8026.28197294,3325573.15766,48
49,5614.0412777,1799345.48011,49
50,5453.92908588,1696572.31437,50
51,6826.3158942,2897056.12016,51
52,10434.9818435,2343666.4753,52
53,8386.01160487,2641758.11953,53
54,9229.55334823,3803394.97949,54
55,8709.97360957,2963192.1084,55
56,6633.9014536,2158967.28287,56
57,4922.79281681,1224064.59969,57
