taz_id,1991,1996,2001,2006,2011,2016
1,1211.0,888.0,1509.0,1142.0,893.0,718.0
2,696.0,784.0,1154.0,989.0,659.0,560.0
3,5274.0,6908.0,5618.0,6166.0,7136.0,7369.0
4,3192.0,2732.0,1987.0,2702.0,3830.0,3564.0
5,5180.0,4569.0,5537.0,4440.0,4223.0,4261.0
6,4458.0,4185.0,3589.0,4050.0,4706.0,4237.0
7,449.0,621.0,594.0,540.0,514.0,1029.0
8,474.0,1564.0,1405.0,1809.0,1845.0,2522.0
9,4837.0,2860.0,2292.0,3459.0,2687.0,3414.0
10,8608.0,7529.0,6235.0,7140.0,6316.0,7689.0
11,3580.0,5071.0,5057.0,4040.0,3582.0,3936.0
12,4375.0,4473.0,4437.0,4364.0,3862.0,3634.0
13,49.0,471.0,2795.0,755.0,1052.0,1054.0
14,5567.0,4996.0,3979.0,4898.0,4780.0,4156.0
15,772.0,405.0,319.0,519.0,678.0,514.0
16,1766.0,898.0,1700.0,1639.0,2223.0,1542.0
17,476.0,692.0,489.0,792.0,816.0,1034.0
18,3070.0,2442.0,1727.0,2287.0,2223.0,1235.0
19,161.0,334.0,437.0,499.0,797.0,479.0
20,187.0,561.0,1030.0,885.0,813.0,734.0
21,847.0,846.0,1115.0,1061.0,770.0,681.0
22,9164.0,8944.0,8542.0,9441.0,9409.0,8447.0
23,3320.0,1019.0,1364.0,801.0,1048.0,748.0
24,5577.0,3391.0,2402.0,2967.0,3981.0,2813.0
25,3043.0,3655.0,4168.0,2944.0,2253.0,2339.0
26,1481.0,1072.0,1353.0,1351.0,996.0,997.0
27,895.0,1580.0,1555.0,1621.0,1347.0,2134.0
28,4640.0,2949.0,3658.0,3420.0,3782.0,3066.0
29,276.0,1208.0,989.0,717.0,857.0,734.0
30,768.0,623.0,600.0,467.0,139.0,458.0
31,172.0,661.0,617.0,656.0,819.0,993.0
32,1214.0,872.0,787.0,911.0,1055.0,1051.0
33,1062.0,746.0,825.0,490.0,756.0,692.0
34,3013.0,4462.0,4286.0,5235.0,5508.0,7640.0
35,,161.0,538.0,303.0,416.0,376.0
36,298.0,649.0,794.0,729.0,919.0,589.0
37,482.0,1108.0,1542.0,1043.0,1339.0,1202.0
38,233.0,472.0,570.0,283.0,327.0,214.0
39,3682.0,2350.0,2282.0,1385.0,1877.0,1022.0
40,1309.0,2578.0,1952.0,1859.0,1842.0,1078.0
41,706.0,540.0,669.0,932.0,845.0,593.0
42,336.0,325.0,395.0,436.0,231.0,318.0
43,736.0,1336.0,1101.0,831.0,1006.0,996.0
44,1123.0,1189.0,1026.0,1250.0,941.0,926.0
45,793.0,350.0,383.0,403.0,697.0,399.0
46,1026.0,1363.0,1215.0,1255.0,1231.0,811.0
47,209.0,1267.0,1148.0,1472.0,1663.0,1246.0
48,7626.0,7757.0,8962.0,7922.0,6611.0,8021.0
49,4918.0,6436.0,5380.0,6012.0,6824.0,7025.0
50,2353.0,2178.0,3299.0,3036.0,3604.0,2340.0
51,2259.0,1717.0,2526.0,2742.0,2585.0,1991.0
52,258.0,2976.0,3066.0,2554.0,2633.0,1711.0
53,4010.0,3446.0,4297.0,3881.0,4999.0,5895.0
54,6309.0,5910.0,5595.0,7246.0,6732.0,6696.0
55,2905.0,2788.0,4773.0,4057.0,4721.0,4645.0
56,1996.0,2181.0,1702.0,1844.0,2390.0,2058.0
57,923.0,1117.0,1234.0,1002.0,771.0,594.0
58,233.0,180.0,362.0,360.0,435.0,391.0
59,2450.0,1078.0,1776.0,1468.0,1445.0,2465.0
60,4115.0,4048.0,4173.0,3814.0,2964.0,3002.0
61,2924.0,3913.0,4009.0,3646.0,4061.0,2840.0
62,2506.0,4145.0,3835.0,4322.0,3204.0,2787.0
63,4658.0,4252.0,2932.0,3261.0,3083.0,3257.0
64,3155.0,1284.0,2015.0,1286.0,1718.0,985.0
65,653.0,1239.0,1157.0,976.0,629.0,389.0
66,224.0,682.0,458.0,1207.0,701.0,601.0
67,1094.0,389.0,1003.0,919.0,1140.0,798.0
68,1050.0,1169.0,968.0,840.0,1186.0,728.0
69,1879.0,1957.0,1423.0,1513.0,2387.0,1895.0
70,1663.0,1985.0,2257.0,877.0,845.0,803.0
71,2747.0,2007.0,1426.0,1796.0,2642.0,2402.0
72,5187.0,4016.0,3354.0,4012.0,4819.0,3715.0
73,688.0,569.0,2693.0,1580.0,974.0,1071.0
74,1227.0,234.0,498.0,600.0,221.0,142.0
75,7384.0,5761.0,4411.0,4850.0,4030.0,3827.0
76,5601.0,5979.0,5373.0,5191.0,5524.0,5675.0
77,4754.0,7791.0,6417.0,7255.0,7190.0,8579.0
78,710.0,1252.0,1080.0,1286.0,1111.0,1175.0
79,2857.0,4356.0,3274.0,2603.0,2646.0,2083.0
80,332.0,898.0,1030.0,1090.0,933.0,1073.0
81,229.0,813.0,901.0,869.0,1411.0,2072.0
82,494.0,857.0,896.0,967.0,626.0,658.0
83,676.0,824.0,1192.0,1248.0,675.0,548.0
84,719.0,728.0,684.0,951.0,878.0,705.0
85,2548.0,2699.0,1921.0,2631.0,3138.0,3324.0
86,4624.0,3441.0,2354.0,2707.0,3005.0,1979.0
87,2304.0,4514.0,3919.0,3754.0,2983.0,3520.0
88,826.0,679.0,1377.0,809.0,789.0,476.0
89,1791.0,1231.0,1895.0,1353.0,1427.0,1404.0
90,258.0,552.0,467.0,319.0,568.0,430.0
91,1077.0,315.0,1946.0,634.0,570.0,381.0
92,2153.0,3685.0,3201.0,1638.0,1309.0,1260.0
93,46.0,323.0,691.0,511.0,314.0,297.0
94,601.0,1268.0,2194.0,1553.0,1680.0,1287.0
95,9919.0,11016.0,7540.0,10543.0,11714.0,11488.0
96,1339.0,2778.0,4263.0,4542.0,3893.0,4149.0
97,4568.0,3451.0,3231.0,3580.0,3261.0,3560.0
98,2982.0,4522.0,4589.0,5012.0,6533.0,5043.0
99,5180.0,2390.0,2661.0,3372.0,4035.0,7629.0
100,4430.0,2954.0,3406.0,2338.0,2077.0,1835.0
101,7327.0,7462.0,6504.0,7351.0,7780.0,7478.0
102,4471.0,3779.0,2232.0,5449.0,5193.0,4957.0
103,3353.0,3531.0,4916.0,4551.0,3637.0,4016.0
104,1832.0,1848.0,1656.0,1432.0,1236.0,1224.0
105,2608.0,1936.0,1564.0,1846.0,2132.0,1970.0
106,2605.0,2513.0,1857.0,2264.0,2406.0,2386.0
107,2729.0,2080.0,2330.0,3215.0,2764.0,2678.0
108,4978.0,5841.0,6975.0,6888.0,6839.0,7877.0
109,12414.0,9844.0,6908.0,9019.0,8574.0,9998.0
110,1732.0,3644.0,5304.0,4151.0,3408.0,3455.0
111,3025.0,2303.0,2426.0,2426.0,2748.0,3848.0
112,1809.0,1952.0,866.0,1036.0,1023.0,1215.0
113,3952.0,3709.0,2253.0,2216.0,2127.0,2993.0
114,625.0,753.0,537.0,691.0,353.0,449.0
115,317.0,499.0,796.0,716.0,445.0,297.0
116,236.0,344.0,299.0,282.0,269.0,517.0
117,1207.0,955.0,652.0,955.0,559.0,643.0
118,662.0,762.0,884.0,552.0,1141.0,734.0
119,1961.0,1670.0,1616.0,1549.0,1184.0,766.0
120,192.0,636.0,602.0,458.0,424.0,188.0
121,555.0,1010.0,1267.0,1314.0,1630.0,1723.0
122,1442.0,1320.0,1186.0,1318.0,1027.0,953.0
123,1804.0,1733.0,1689.0,1509.0,1873.0,1512.0
124,867.0,708.0,1635.0,2206.0,3112.0,1132.0
125,312.0,707.0,1217.0,1175.0,1211.0,914.0
126,1217.0,1870.0,1720.0,1555.0,1807.0,2028.0
127,665.0,360.0,414.0,439.0,273.0,542.0
128,473.0,1336.0,898.0,1216.0,1535.0,1196.0
129,199.0,81.0,238.0,405.0,215.0,606.0
130,518.0,218.0,249.0,1241.0,827.0,689.0
131,1230.0,1126.0,1293.0,1550.0,1741.0,1743.0
132,404.0,1162.0,872.0,738.0,847.0,377.0
133,1388.0,908.0,1012.0,735.0,924.0,965.0
134,372.0,954.0,694.0,362.0,633.0,219.0
135,1231.0,709.0,1601.0,815.0,667.0,628.0
136,3434.0,3298.0,1275.0,1296.0,2083.0,2072.0
137,1839.0,389.0,1558.0,852.0,1054.0,1064.0
138,2682.0,1804.0,770.0,1113.0,1166.0,1106.0
139,854.0,1530.0,1369.0,1324.0,1177.0,717.0
