taz_id,year,num_jobs
1,1991,1211.0
1,1996,888.0
1,2001,1509.0
1,2006,1142.0
1,2011,893.0
1,2016,718.0
2,1991,696.0
2,1996,784.0
2,2001,1154.0
2,2006,989.0
2,2011,659.0
2,2016,560.0
3,1991,5274.0
3,1996,6908.0
3,2001,5618.0
3,2006,6166.0
3,2011,7136.0
3,2016,7369.0
4,1991,3192.0
4,1996,2732.0
4,2001,1987.0
4,2006,2702.0
4,2011,3830.0
4,2016,3564.0
5,1991,5180.0
5,1996,4569.0
5,2001,5537.0
5,2006,4440.0
5,2011,4223.0
5,2016,4261.0
6,1991,4458.0
6,1996,4185.0
6,2001,3589.0
6,2006,4050.0
6,2011,4706.0
6,2016,4237.0
7,1991,449.0
7,1996,621.0
7,2001,594.0
7,2006,540.0
7,2011,514.0
7,2016,1029.0
8,1991,474.0
8,1996,1564.0
8,2001,1405.0
8,2006,1809.0
8,2011,1845.0
8,2016,2522.0
9,1991,4837.0
9,1996,2860.0
9,2001,2292.0
9,2006,3459.0
9,2011,2687.0
9,2016,3414.0
10,1991,8608.0
10,1996,7529.0
10,2001,6235.0
10,2006,7140.0
10,2011,6316.0
10,2016,7689.0
11,1991,3580.0
11,1996,5071.0
11,2001,5057.0
11,2006,4040.0
11,2011,3582.0
11,2016,3936.0
12,1991,4375.0
12,1996,4473.0
12,2001,4437.0
12,2006,4364.0
12,2011,3862.0
12,2016,3634.0
13,1991,49.0
13,1996,471.0
13,2001,2795.0
13,2006,755.0
13,2011,1052.0
13,2016,1054.0
14,1991,5567.0
14,1996,4996.0
14,2001,3979.0
14,2006,4898.0
14,2011,4780.0
14,2016,4156.0
15,1991,772.0
15,1996,405.0
15,2001,319.0
15,2006,519.0
15,2011,678.0
15,2016,514.0
16,1991,1766.0
16,1996,898.0
16,2001,1700.0
16,2006,1639.0
16,2011,2223.0
16,2016,1542.0
17,1991,476.0
17,1996,692.0
17,2001,489.0
17,2006,792.0
17,2011,816.0
17,2016,1034.0
18,1991,3070.0
18,1996,2442.0
18,2001,1727.0
18,2006,2287.0
18,2011,2223.0
18,2016,1235.0
19,1991,161.0
19,1996,334.0
19,2001,437.0
19,2006,499.0
19,2011,797.0
19,2016,479.0
20,1991,187.0
20,1996,561.0
20,2001,1030.0
20,2006,885.0
20,2011,813.0
20,2016,734.0
21,1991,847.0
21,1996,846.0
21,2001,1115.0
21,2006,1061.0
21,2011,770.0
21,2016,681.0
22,1991,9164.0
